0,1,2,3,4,5,6
T1,厌氧池-滴滤池-人工湿地,3,10,49,5000,0.5
T2,污水净化沼气池-人工湿地,3,10,49,5000,0.5
T3,生物转盘,2,10,29,8000,1.1
T4,活性污泥,2,50,99,3900,0.9
T5,活性污泥,2,100,100000,3450,0.7
T6,活性污泥,3,50,99,3550,0.8
T7,活性污泥,3,100,100000,3150,0.6
T8,A/O,2,50,99,4050,1
T9,A/O,2,100,100000,3550,0.8
T10,A/O,3,50,99,3700,0.9
T11,A/O,3,100,100000,3250,0.7
T12,A2/O,2,50,99,4250,1.2
T13,A2/O,2,100,100000,3600,0.9
T14,A2/O,3,50,99,3550,0.9
T15,A2/O,3,100,100000,3400,0.8
T16,氧化沟,2,50,99,4050,0.9
T17,氧化沟,2,100,100000,3600,0.8
T18,氧化沟,3,50,99,3700,0.8
T19,氧化沟,3,100,100000,3250,0.7
T20,生物接触氧化法,2,50,99,4050,0.9
T21,生物接触氧化法,2,100,100000,3600,0.75
T22,生物接触氧化法,3,50,99,3700,0.8
T23,生物接触氧化法,3,100,100000,3250,0.75
T24,SBR,2,20,99,4500,1
T25,SBR,2,100,100000,3600,0.8
T26,SBR,3,20,99,4200,0.8
T27,SBR,3,100,100000,3250,0.7
T28,MBR,1,50,99,5500,1.3
T29,MBR,1,100,100000,4750,0.9
T30,MBR,2,20,99,5200,1.1
T31,MBR,2,100,100000,4500,0.9
T32,人工湿地,4,1,4,3700,0.1
T33,人工湿地,4,5,9,3300,0.1
T34,人工湿地,4,10,19,3200,0.1
T35,一体化处理装置,1,1,4,30000,0.5
T36,一体化处理装置,1,5,9,22000,0.5
T37,一体化处理装置,1,10,50,15000,0.5
